City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
115,Teguise,29.0605,-13.564,59.22,clear sky,77,0,9.22,ES,2022-02-13 01:44:19
116,Hasaki,35.7333,140.8333,44.89,overcast clouds,63,100,7.43,JP,2022-02-13 01:44:19
117,Sitka,57.0531,-135.33,42.69,broken clouds,75,75,0.0,US,2022-02-13 01:40:47
118,Thinadhoo,0.5333,72.9333,81.27,overcast clouds,73,100,8.97,MV,2022-02-13 01:44:20
119,Kavieng,-2.5744,150.7967,82.72,light rain,72,100,4.99,PG,2022-02-13 01:44:20
120,Kaposvar,46.3667,17.8,33.48,clear sky,77,0,5.14,HU,2022-02-13 01:44:21
121,Tuatapere,-46.1333,167.6833,52.83,overcast clouds,72,100,9.51,NZ,2022-02-13 01:44:21
122,Sioux Lookout,50.1001,-91.917,-9.02,scattered clouds,70,40,3.44,CA,2022-02-13 01:44:21
123,Manjacaze,-24.7117,33.8828,67.57,clear sky,93,5,0.83,MZ,2022-02-13 01:44:22
124,Toila,59.4236,27.5025,31.46,overcast clouds,87,100,16.08,EE,2022-02-13 01:44:22
125,Necochea,-38.5473,-58.7368,54.03,clear sky,67,0,1.7,AR,2022-02-13 01:44:23
126,Port Elizabeth,-33.918,25.5701,71.89,broken clouds,88,75,18.41,ZA,2022-02-13 01:44:23
127,Paamiut,61.994,-49.6678,17.89,overcast clouds,92,100,6.85,GL,2022-02-13 01:44:24
128,Pandan,14.0453,124.1694,78.46,overcast clouds,84,93,16.49,PH,2022-02-13 01:44:24
129,Lumphat,13.4878,106.9816,83.25,scattered clouds,54,27,8.55,KH,2022-02-13 01:44:25
130,Belmonte,-15.8631,-38.8828,79.3,broken clouds,83,81,4.12,BR,2022-02-13 01:44:25
131,Kalmunai,7.4167,81.8167,75.11,overcast clouds,90,100,2.91,LK,2022-02-13 01:44:26
132,Santa Cruz,-17.8,-63.1667,72.86,broken clouds,73,75,18.41,BO,2022-02-13 01:44:26
133,Dunedin,-45.8742,170.5036,53.8,overcast clouds,78,100,11.99,NZ,2022-02-13 01:41:10
134,Fomboni,-12.28,43.7425,80.8,moderate rain,80,91,12.57,KM,2022-02-13 01:44:27
135,Bantacan,7.604,126.1298,83.82,overcast clouds,69,95,4.14,PH,2022-02-13 01:44:27
136,Qasigiannguit,68.8193,-51.1922,12.45,overcast clouds,91,100,3.74,GL,2022-02-13 01:45:28
137,Gamba,-2.65,10.0,77.05,light rain,90,100,4.09,GA,2022-02-13 01:45:29
138,Monticello,45.3055,-93.7941,5.95,overcast clouds,65,100,0.0,US,2022-02-13 01:40:58
139,Port Alfred,-33.5906,26.891,76.42,overcast clouds,94,98,15.23,ZA,2022-02-13 01:45:31
140,Ilulissat,69.2167,-51.1,12.22,light snow,79,75,10.36,GL,2022-02-13 01:45:31
141,Rockland,41.1668,-74.0496,48.45,overcast clouds,56,100,9.48,US,2022-02-13 01:45:32
142,Faanui,-16.4833,-151.75,80.65,moderate rain,73,91,10.58,PF,2022-02-13 01:45:32
143,Severo-Kurilsk,50.6789,156.125,25.16,overcast clouds,74,85,8.01,RU,2022-02-13 01:45:33
144,Aykhal,66.0,111.5,-6.84,few clouds,75,15,3.83,RU,2022-02-13 01:45:33
145,Wageningen,51.9667,5.6667,36.86,few clouds,78,20,10.36,NL,2022-02-13 01:45:33
146,Lavrentiya,65.5833,-171.0,-11.04,clear sky,90,7,6.76,RU,2022-02-13 01:45:34
147,Minot,48.2325,-101.2963,7.79,clear sky,85,0,5.75,US,2022-02-13 01:43:02
148,Nevelsk,46.6733,141.8633,23.43,overcast clouds,78,100,11.14,RU,2022-02-13 01:45:35
149,Svetlaya,46.5389,138.3297,26.4,light snow,89,100,15.79,RU,2022-02-13 01:45:35
150,Pundaguitan,6.3711,126.1689,80.62,overcast clouds,77,100,15.79,PH,2022-02-13 01:45:36
151,Fairbanks,64.8378,-147.7164,6.82,clear sky,73,0,0.0,US,2022-02-13 01:42:22
152,Sistranda,63.7256,8.834,39.9,light rain,69,100,12.12,NO,2022-02-13 01:45:37
153,Ayaviri,-14.8864,-70.5889,43.63,overcast clouds,89,100,1.48,PE,2022-02-13 01:45:37
154,Tigil,57.8,158.6667,2.08,few clouds,88,11,3.67,RU,2022-02-13 01:45:38
155,Bo Rai,12.5728,102.5371,83.1,scattered clouds,81,50,1.59,TH,2022-02-13 01:45:38
156,Pangnirtung,66.1451,-65.7125,-23.33,overcast clouds,99,100,4.34,CA,2022-02-13 01:45:39
157,Kaitangata,-46.2817,169.8464,57.92,overcast clouds,66,100,9.57,NZ,2022-02-13 01:45:39
158,Cairns,-16.9167,145.7667,90.1,scattered clouds,56,40,16.11,AU,2022-02-13 01:45:40
159,Oranjemund,-28.55,16.4333,65.16,clear sky,88,0,9.75,NA,2022-02-13 01:45:40
160,Port Augusta,-32.5,137.7667,97.7,clear sky,10,4,2.91,AU,2022-02-13 01:45:41
161,Clyde River,70.4692,-68.5914,-16.37,snow,76,100,35.68,CA,2022-02-13 01:41:33
162,Byron Bay,-28.65,153.6167,80.55,overcast clouds,73,88,14.18,AU,2022-02-13 01:45:41
163,Luganville,-15.5333,167.1667,79.29,overcast clouds,88,100,6.04,VU,2022-02-13 01:45:42
164,Eyl,7.9803,49.8164,72.03,overcast clouds,74,95,8.46,SO,2022-02-13 01:45:42
165,Parabel,58.6978,81.4825,-7.13,scattered clouds,98,43,9.1,RU,2022-02-13 01:45:43
166,San Patricio,28.017,-97.5169,50.09,clear sky,65,0,18.34,US,2022-02-13 01:45:44
167,Jasper,37.2001,-94.3502,28.31,clear sky,42,0,3.44,US,2022-02-13 01:45:44
168,Aksu,41.1231,80.2644,29.61,broken clouds,41,83,4.32,CN,2022-02-13 01:45:44
169,Fjerritslev,57.0813,9.2664,39.06,overcast clouds,93,100,29.42,DK,2022-02-13 01:45:45
170,Lasa,46.6166,10.7002,29.66,overcast clouds,38,97,1.63,IT,2022-02-13 01:45:45
171,Tasiilaq,65.6145,-37.6368,10.56,overcast clouds,66,100,5.28,GL,2022-02-13 01:45:46
172,Lusambo,-4.9667,23.45,68.77,light rain,97,91,1.03,CD,2022-02-13 01:45:46
173,Puerto Leguizamo,-0.1934,-74.7819,78.57,overcast clouds,71,100,0.27,CO,2022-02-13 01:45:47
174,Hermanus,-34.4187,19.2345,68.81,broken clouds,81,78,3.85,ZA,2022-02-13 01:45:47
175,Srednekolymsk,67.45,153.6833,-20.11,overcast clouds,91,91,6.53,RU,2022-02-13 01:45:48
176,Teguldet,57.3064,88.1667,-2.07,clear sky,87,6,10.8,RU,2022-02-13 01:45:49
177,Cape Town,-33.9258,18.4232,69.89,clear sky,77,0,6.91,ZA,2022-02-13 01:45:25
178,Swan Hill,-35.3378,143.5544,91.36,broken clouds,23,73,17.96,AU,2022-02-13 01:45:49
179,Ahipara,-35.1667,173.1667,70.79,broken clouds,68,51,18.23,NZ,2022-02-13 01:45:50
180,Fort Nelson,58.8053,-122.7002,15.39,scattered clouds,79,40,5.75,CA,2022-02-13 01:46:50
181,Tres Coracoes,-21.6969,-45.2533,63.84,scattered clouds,96,43,2.06,BR,2022-02-13 01:46:51
182,Luderitz,-26.6481,15.1594,70.99,clear sky,70,3,12.86,NA,2022-02-13 01:46:51
183,Suntar,62.1444,117.6319,-20.22,overcast clouds,99,98,2.51,RU,2022-02-13 01:46:52
184,Oistins,13.0667,-59.5333,77.09,scattered clouds,69,40,17.27,BB,2022-02-13 01:46:52
185,Carnarvon,-24.8667,113.6333,89.67,overcast clouds,55,100,6.91,AU,2022-02-13 01:46:53
186,Half Moon Bay,37.4636,-122.4286,73.08,few clouds,57,20,0.0,US,2022-02-13 01:46:53
187,Kostomuksha,64.571,30.5767,-1.19,overcast clouds,100,100,4.23,RU,2022-02-13 01:46:54
188,Bardiyah,31.7561,25.0865,53.35,clear sky,72,0,6.46,LY,2022-02-13 01:46:54
189,Calvillo,21.85,-102.7167,58.69,clear sky,15,0,7.16,MX,2022-02-13 01:46:55
190,Bhawanipatna,19.9,83.1667,59.34,scattered clouds,31,47,1.63,IN,2022-02-13 01:46:55
191,Airai,-8.9266,125.4092,72.18,broken clouds,63,76,3.2,TL,2022-02-13 01:46:56
192,Skjervoy,70.0311,20.9714,27.05,clear sky,56,5,14.83,NO,2022-02-13 01:46:56
193,Todos Santos,23.45,-110.2167,75.79,broken clouds,65,56,3.71,MX,2022-02-13 01:46:57
194,Okha,53.5739,142.9478,15.42,broken clouds,86,67,8.08,RU,2022-02-13 01:46:57
195,Tahoua,14.8888,5.2692,64.33,clear sky,12,2,12.26,NE,2022-02-13 01:46:57
196,Thompson,55.7435,-97.8558,-14.64,few clouds,64,20,2.3,CA,2022-02-13 01:45:46
197,Yaremche,48.4583,24.5519,11.05,clear sky,84,8,6.38,UA,2022-02-13 01:46:58
198,Talcahuano,-36.7167,-73.1167,58.68,clear sky,88,0,10.36,CL,2022-02-13 01:46:59
199,Ciudad Real,39.0,-4.0,49.1,overcast clouds,85,96,4.47,ES,2022-02-13 01:46:59
200,Esperance,-33.8667,121.9,69.64,few clouds,55,17,9.66,AU,2022-02-13 01:47:00
201,Bowen,-20.0167,148.2333,84.42,few clouds,58,21,20.45,AU,2022-02-13 01:47:04
202,Los Llanos De Aridane,28.6585,-17.9182,60.55,broken clouds,79,75,9.22,ES,2022-02-13 01:47:04
203,Hambantota,6.1241,81.1185,75.54,broken clouds,100,75,2.3,LK,2022-02-13 01:47:05
